id,id,clothtype,type,price,pricerate,weight,quality,level,material,occupation,condition1,condition2,stat1a,stat1b,stat2a,stat2b,defense,magicresistence,range,attackpower,attackspeed,itemgrade,name,icon,description,blue,union points
,1,1,111,850,10,1,30,1,54,0|0|0,0|0,0|0,14,5,,,,,,,,,Flu Mask,1,Medical mask with an X mark on it that protects its wearer from contagious airborne diseases.,0,18
,2,1,111,950,10,1,31,1,55,0|0|0,0|0,0|0,14,6,,,,,,,,,Black Mask,2,A black mask that covers half of the face.,0,19
,3,1,111,1000,10,2,32,1,51,0|0|0,0|0,0|0,14,6,,,,,,,,,ButterFly Mask,3,A splendid mask that seems to be worn in masquerades.,0,20
,4,1,111,1100,10,1,33,2,52,0|0|0,0|0,0|0,14,7,,,,,,,,,Zorro Mask,4,A mask that served as the symbol of a chivalrous thief. Its wearer is compelled to perform acts of righteousness.,0,20
,5,1,111,1100,10,1,34,2,52,0|0|0,0|0,0|0,14,7,,,,,,,,,Persian Mask ,5,A silken mask that evokes a mysterious feeling.,0,20
,6,1,111,1250,10,2,35,3,53,0|0|0,0|0,0|0,14,8,,,,,,,,,Wicked Mask,6,You cant trust the intentions of anyone who wears this mask,0,20
,7,1,111,1350,10,3,36,3,58,0|0|0,0|0,0|0,14,9,,,,,,,,,Jolly Front Mask,7,An innocuously dopey mask that conceals your true intentions once you put it on.,0,24
,8,1,111,1400,10,10,37,4,59,0|0|0,0|0,0|0,14,9,,,,,,,,,Iron Mask,8,Iron mask that covers half of the face when worn.,0,28
,9,1,111,1550,10,5,38,4,56,0|0|0,0|0,0|0,14,10,,,,,,,,,Totem Mask,9,A mask that is the standard for use in totem ceremonies.,0,25
,10,1,111,1550,10,7,39,4,,0|0|0,0|0,0|0,14,10,,,,,,,,,Goblin Mask,10,A mask modeled after the faces of the members of the Goblin race.,0,
,11,1,111,1700,10,5,40,5,57,0|0|0,0|0,0|0,14,11,,,,,,,,,Ashura Mask,11,A mask of a face that is half man and half woman.,0,28
,12,1,111,1850,,,41,5,,0|0|0,0|0,0|0,14,12,,,,,,,,,Orc Mask,,A mask modeled after the faces of the members of the Orc race.,0,
,13,1,111,30000,1,2,42,,,0|0|0,31|70,0|0,21,15,22,10,,,,,,,Mask of Lies,14,A mask of an insincerely weeping face.,0,150
,14,1,111,2050,,,43,6,,0|0|0,0|0,0|0,14,13,,,,,,,,,Mask of Truth,15,A mask that projects an honest heart.,0,
,15,1,111,2100,,,44,6,,0|0|0,0|0,0|0,14,13,,,,,,,,,Mask of Venus,16,A mask of Venus cold facial expression.,0,
,16,1,111,2250,,,45,6,,0|0|0,0|0,0|0,14,14,,,,,,,,,Demon Mask,17,A grim faced mask that will scare a child so much he wont even think of crying.,0,
,31,1,112,1000,10,2,30,2,61,0|0|0,0|0,0|0,14,5,,,,,,,,,Glasses Frame,26,A glasses frame without any lenses.,0,20
,32,1,112,1100,10,2,31,3,61,0|0|0,0|0,0|0,14,6,,,,,,,,,Dork Glasses,27,A pair of thick glasses usually worn by diligent students.,0,25
,33,1,112,1150,10,2,32,3,62,0|0|0,0|0,0|0,14,6,,,,,,,,,Thick Framed Glasses,28,A pair of square framed glasses.,0,24
,34,1,112,1250,10,2,33,3,63,0|0|0,0|0,0|0,14,7,,,,,,,,,Sunglasses,29,A pair of glasses with darkly tinted lenses that protect the eyes from strong sunlight.,0,25
,35,1,112,1300,10,2,34,4,63,0|0|0,0|0,0|0,14,7,,,,,,,,,Charming Sunglasses,30,A pair of charming glasses with darkly tinted lenses that protect the eyes from strong sunlight.,0,29
,36,1,112,1400,,,35,,,0|0|0,0|0,0|0,14,8,,,,,,,,,Swimming Goggles,35,A pair of goggles which helps its wearer to see better while underwater.,0,
,38,1,112,1600,10,3,37,5,64,0|0|0,0|0,0|0,14,9,,,,,,,,,Cart Goggles,33,A pair of goggles usually worn while driving a Cart.,0,33
,62,1,113,800,10,1,31,1,71,0|0|0,0|0,0|0,14,6,,,,,,,,,Pierrot Nose,52,A funny looking red nose that is usually worn by clowns.,0,20
,64,1,113,950,10,1,33,2,72,0|0|0,0|0,0|0,14,7,,,,,,,,,Pinocchio Nose ,53,A wooden nose that grows when its wearer lies.,0,20
,73,1,113,1700,10,1,42,4,73,0|0|0,0|0,0|0,14,12,,,,,,,,,Santa Beard,54,Jolly and cheery facial hair. Its annoying to wear it while youre eating.,0,20
,121,1,111,2000,10,5,45,,,0|0|0,0|0,0|0,14,12,,,,,,,,,Ego Mask,65,A mask that expresses the idea that mankind is both good and evil.,0,
,151,1,111,1000,1,2,20,,,0|0|0,0|0,0|0,10,7,,,,,,,,,Scream Mask,2372,A dreadful mask that actually appeared in a popular horror movie.,0,
,152,1,111,1000,1,2,21,,,0|0|0,0|0,0|0,11,7,,,,,,,,,Nomadic Mask,2369,Mask usually worn by villains during their entrance in the movies.,0,
,153,1,111,1000,1,2,22,,,0|0|0,0|0,0|0,12,7,,,,,,,,,Mummy Face,2370,Frighten your enemies by wrapping your face in bandages like a mummy.,0,
,156,1,111,1000,1,2,24,,,0|0|0,0|0,0|0,15,7,,,,,,,,,Jason Mask,18,A hockey mask very much like the one worn by Jason in the Friday the 13th films.,0,
,157,1,111,350,1,2,20,,,0|0|0,0|0,0|0,15,7,,,,,,,,,Scream Mask,15,A dreadful mask that actually appeared in a popular horror movie.,0,
,161,1,112,1000,1,3,25,,,0|0|0,0|0,0|0,18,10,,,,,,,,,Star Glasses,2371,Lovely glasses with a star shaped frame.,0,
,162,1,112,1000,1,3,26,,,0|0|0,0|0,0|0,19,10,,,,,,,,,Matrix Eye,2374,Fashionable glasses worn by the man who disappeared while investigating the truth of whats really controlling the Visitors.,0,
,166,1,112,1000,1,3,29,,,0|0|0,0|0,0|0,20,10,,,,,,,,,Cherry Blossom Glasses,2373,Not Found,0,
,167,1,112,1000,1,3,100,,,0|0|0,0|0,0|0,11,15,23,20,,,,,,,ROSE Captains Eyepatch,2377,Not Found,0,
,168,1,112,1000,1,3,100,,,0|0|0,0|0,0|0,11,15,23,20,,,,,,,Valentine Eyepatch,2379,A white eyepatch with a pretty pink heart. Especially favored by female pirates.,0,
,169,1,112,1000,1,3,29,,,0|0|0,0|0,0|0,20,10,,,,,,,,,Plastic Rimmed Glasses,2380,Cheap glasses with a brown plastic frame.,0,
,170,1,113,1000,1,1,22,,,0|0|0,0|0,0|0,13,6,,,,,,,,,Black Mustache,2381,If you feel the need for facial hair…,0,
,171,1,113,1000,1,1,22,,,0|0|0,0|0,0|0,23,40,,,,,,,,,Rat Tail Mustache,2375,A false mustache that is known as a mouses tail. Wearing it brings you a step closer to true elegance.,0,
,172,1,113,1000,1,1,23,,,0|0|0,0|0,0|0,24,5,,,,,,,,,Oros Present,2376,A helmet made of gold whose function is mainly ceremonial.,0,
,176,1,112,1000,1,3,40,,,0|0|0,0|0,0|0,24,3,14,8,,,,,,,Pink Chibi Punk Bunny Eyepatch,2383,A black eyepatch featuring the chibi punk bunny emblem.,0,
,177,1,112,1000,1,3,40,,,0|0|0,0|0,0|0,24,3,14,8,,,,,,,Chibi Punk Bunny Eyepatch,2383,A pink eyepatch featuring the chibi punk bunny emblem.,0,
,181,1,111,1000,10,1,30,,,0|0|0,0|0,0|0,14,7,18,5,,,,,,,Junon Mask,2,A gift from the Junon Order. (Quest Reward),0,
,191,1,111,1000,1,1,40,,,0|0|0,0|0,0|0,11,6,14,15,,,,,,,Cheek Beauty Spot,24,Some people think that moles just under the eye are a mark of beauty. To each their own.,0,
,194,1,113,1000,1,5,40,,,0|0|0,0|0,0|0,12,6,14,10,,,,,,,Silver Circlet,132,An elegant silver circlet worn by only the most powerful sorcerors and sorceresses.,0,
,195,1,111,1000,1,3,40,,,0|0|0,0|0,0|0,10,3,11,6,,,,,,,Chicken Beak,135,Ca-caw!,0,
,196,1,113,1000,1,3,40,,,0|0|0,0|0,0|0,15,8,,,,,,,,,Gray Mustache,2382,If you feel the need for facial hair…,0,
,197,1,111,1000,1,1,40,,,0|0|0,0|0,0|0,10,6,14,15,,,,,,,Chin Beauty Spot,24,Some people think that moles on the side of the chin are a mark of beauty. To each their own.,0,
,198,1,112,1000,1,1,40,,,0|0|0,0|0,0|0,10,5,11,5,,,,,,,Brown Tinted Glasses,2819,Glasses with large brown lenses.,0,
