id,itemnum,itemtype,min_level,max_level,prob,map,mob,alt
1,41,12,0,0,600,0,-,0|0|0|0|0|0|0|0
2,101,10,0,0,100,0,-,0|0|0|0|0|0|0|0
3,120,10,0,0,200,0,-,0|0|0|0|0|0|0|0
4,42,12,0,0,200,0,-,0|0|0|0|0|0|0|0
5,99,12,0,0,100,0,-,0|0|0|0|0|0|0|0
6,100,12,0,0,100,0,-,0|0|0|0|0|0|0|0
7,43,12,0,0,200,0,-,0|0|0|0|0|0|0|0
8,112,12,0,0,300,0,-,0|0|0|0|0|0|0|0
9,45,12,0,0,300,0,-,0|0|0|0|0|0|0|0
10,102,10,0,0,200,0,-,0|0|0|0|0|0|0|0
11,81,12,0,0,100,0,-,0|0|0|0|0|0|0|0
12,71,12,0,0,100,0,-,0|0|0|0|0|0|0|0
13,670,10,0,0,100,0,-,0|0|0|0|0|0|0|0
14,672,10,0,0,100,0,-,0|0|0|0|0|0|0|0
15,778,10,0,0,100,0,-,0|0|0|0|0|0|0|0
16,780,10,0,0,100,0,-,0|0|0|0|0|0|0|0
17,841,10,0,0,100,0,-,0|0|0|0|0|0|0|0
18,52,12,0,0,200,1,-,0|0|0|0|0|0|0|0
19,53,12,0,0,200,1,-,0|0|0|0|0|0|0|0
20,107,10,0,0,100,1,-,0|0|0|0|0|0|0|0
21,117,12,0,0,400,1,-,0|0|0|0|0|0|0|0
22,54,12,0,0,100,1,-,0|0|0|0|0|0|0|0
23,99,12,0,0,100,1,-,0|0|0|0|0|0|0|0
24,55,12,0,0,300,1,-,0|0|0|0|0|0|0|0
25,56,12,0,0,100,1,-,0|0|0|0|0|0|0|0
26,104,10,0,0,200,1,-,0|0|0|0|0|0|0|0
27,122,10,0,0,100,1,-,0|0|0|0|0|0|0|0
28,58,12,0,0,300,1,-,0|0|0|0|0|0|0|0
29,779,10,0,0,100,1,-,0|0|0|0|0|0|0|0
30,726,10,0,0,100,1,-,0|0|0|0|0|0|0|0
31,671,10,0,0,100,1,-,0|0|0|0|0|0|0|0
32,729,10,0,0,100,1,-,0|0|0|0|0|0|0|0
33,31,12,0,0,700,19,-,0|0|0|0|0|0|0|0
34,101,10,0,0,300,19,-,0|0|0|0|0|0|0|0
35,102,10,0,0,100,19,-,0|0|0|0|0|0|0|0
36,32,12,0,0,500,19,-,0|0|0|0|0|0|0|0
37,33,12,0,0,400,19,-,0|0|0|0|0|0|0|0
38,120,10,0,0,100,19,-,0|0|0|0|0|0|0|0
39,2,12,0,0,500,20,-,0|0|0|0|0|0|0|0
40,103,10,0,0,300,20,-,0|0|0|0|0|0|0|0
41,105,10,0,0,100,20,-,0|0|0|0|0|0|0|0
42,102,12,0,0,100,20,-,0|0|0|0|0|0|0|0
43,99,12,0,0,100,20,-,0|0|0|0|0|0|0|0
44,3,12,0,0,300,20,-,0|0|0|0|0|0|0|0
45,4,12,0,0,200,20,-,0|0|0|0|0|0|0|0
46,121,10,0,0,100,20,-,0|0|0|0|0|0|0|0
47,5,12,0,0,100,20,-,0|0|0|0|0|0|0|0
48,116,12,0,0,400,20,-,0|0|0|0|0|0|0|0
49,41,12,0,0,400,21,-,0|0|0|0|0|0|0|0
50,122,10,0,0,100,21,-,0|0|0|0|0|0|0|0
51,104,10,0,0,100,21,-,0|0|0|0|0|0|0|0
52,102,12,0,0,100,21,-,0|0|0|0|0|0|0|0
53,42,12,0,0,200,21,-,0|0|0|0|0|0|0|0
54,43,12,0,0,200,21,-,0|0|0|0|0|0|0|0
55,111,12,0,0,300,21,-,0|0|0|0|0|0|0|0
56,120,10,0,0,100,21,-,0|0|0|0|0|0|0|0
57,102,10,0,0,300,21,-,0|0|0|0|0|0|0|0
58,42,12,0,0,300,22,-,0|0|0|0|0|0|0|0
59,102,10,0,0,100,22,-,0|0|0|0|0|0|0|0
60,97,12,0,0,100,22,-,0|0|0|0|0|0|0|0
61,103,10,0,0,100,22,-,0|0|0|0|0|0|0|0
62,43,12,0,0,200,22,-,0|0|0|0|0|0|0|0
63,44,12,0,0,300,22,-,0|0|0|0|0|0|0|0
64,45,12,0,0,100,22,-,0|0|0|0|0|0|0|0
65,46,12,0,0,100,22,-,0|0|0|0|0|0|0|0
66,121,10,0,0,100,22,-,0|0|0|0|0|0|0|0
67,47,12,0,0,300,22,-,0|0|0|0|0|0|0|0
68,104,10,0,0,200,22,-,0|0|0|0|0|0|0|0
69,122,12,0,0,200,22,-,0|0|0|0|0|0|0|0
70,81,12,0,0,100,22,-,0|0|0|0|0|0|0|0
71,71,12,0,0,100,22,-,0|0|0|0|0|0|0|0
72,670,10,0,0,100,22,-,0|0|0|0|0|0|0|0
73,672,10,0,0,100,22,-,0|0|0|0|0|0|0|0
74,778,10,0,0,100,22,-,0|0|0|0|0|0|0|0
75,780,10,0,0,100,22,-,0|0|0|0|0|0|0|0
76,839,10,0,0,100,22,-,0|0|0|0|0|0|0|0
77,1,12,0,0,300,23,-,0|0|0|0|0|0|0|0
78,105,10,0,0,300,23,-,0|0|0|0|0|0|0|0
79,92,12,0,0,100,23,-,0|0|0|0|0|0|0|0
80,91,12,0,0,100,23,-,0|0|0|0|0|0|0|0
81,106,10,0,0,100,23,-,0|0|0|0|0|0|0|0
82,2,12,0,0,100,23,-,0|0|0|0|0|0|0|0
83,3,12,0,0,300,23,-,0|0|0|0|0|0|0|0
84,4,12,0,0,200,23,-,0|0|0|0|0|0|0|0
85,5,12,0,0,200,23,-,0|0|0|0|0|0|0|0
86,6,12,0,0,200,23,-,0|0|0|0|0|0|0|0
87,120,10,0,0,100,23,-,0|0|0|0|0|0|0|0
88,126,12,0,0,300,23,-,0|0|0|0|0|0|0|0
89,7,12,0,0,100,23,-,0|0|0|0|0|0|0|0
90,81,12,0,0,100,23,-,0|0|0|0|0|0|0|0
91,71,12,0,0,100,23,-,0|0|0|0|0|0|0|0
92,725,10,0,0,100,23,-,0|0|0|0|0|0|0|0
93,727,10,0,0,100,23,-,0|0|0|0|0|0|0|0
94,839,10,0,0,100,23,-,0|0|0|0|0|0|0|0
95,32,12,0,0,200,24,-,0|0|0|0|0|0|0|0
96,122,10,0,0,100,24,-,0|0|0|0|0|0|0|0
97,99,12,0,0,200,24,-,0|0|0|0|0|0|0|0
98,108,10,0,0,100,24,-,0|0|0|0|0|0|0|0
99,33,12,0,0,100,24,-,0|0|0|0|0|0|0|0
100,102,12,0,0,200,24,-,0|0|0|0|0|0|0|0
101,34,12,0,0,100,24,-,0|0|0|0|0|0|0|0
102,107,10,0,0,100,24,-,0|0|0|0|0|0|0|0
103,35,12,0,0,100,24,-,0|0|0|0|0|0|0|0
104,36,12,0,0,200,24,-,0|0|0|0|0|0|0|0
105,37,12,0,0,200,24,-,0|0|0|0|0|0|0|0
106,121,10,0,0,200,24,-,0|0|0|0|0|0|0|0
107,106,10,0,0,100,24,-,0|0|0|0|0|0|0|0
108,121,12,0,0,200,24,-,0|0|0|0|0|0|0|0
109,779,10,0,0,100,24,-,0|0|0|0|0|0|0|0
110,726,10,0,0,100,24,-,0|0|0|0|0|0|0|0
111,671,10,0,0,100,24,-,0|0|0|0|0|0|0|0
112,729,10,0,0,100,24,-,0|0|0|0|0|0|0|0
113,34,12,0,0,300,25,-,0|0|0|0|0|0|0|0
114,95,12,0,0,200,25,-,0|0|0|0|0|0|0|0
115,107,10,0,0,300,25,-,0|0|0|0|0|0|0|0
116,35,12,0,0,200,25,-,0|0|0|0|0|0|0|0
117,94,12,0,0,100,25,-,0|0|0|0|0|0|0|0
118,36,12,0,0,100,25,-,0|0|0|0|0|0|0|0
119,37,12,0,0,100,25,-,0|0|0|0|0|0|0|0
120,38,12,0,0,200,25,-,0|0|0|0|0|0|0|0
121,39,12,0,0,100,25,-,0|0|0|0|0|0|0|0
122,40,12,0,0,100,25,-,0|0|0|0|0|0|0|0
123,122,10,0,0,100,25,-,0|0|0|0|0|0|0|0
124,127,12,0,0,200,25,-,0|0|0|0|0|0|0|0
125,779,10,0,0,100,25,-,0|0|0|0|0|0|0|0
126,726,10,0,0,100,25,-,0|0|0|0|0|0|0|0
127,671,10,0,0,100,25,-,0|0|0|0|0|0|0|0
128,729,10,0,0,100,25,-,0|0|0|0|0|0|0|0
129,93,12,0,0,200,26,-,0|0|0|0|0|0|0|0
130,108,10,0,0,100,26,-,0|0|0|0|0|0|0|0
131,100,12,0,0,100,26,-,0|0|0|0|0|0|0|0
132,45,12,0,0,100,26,-,0|0|0|0|0|0|0|0
133,56,12,0,0,100,26,-,0|0|0|0|0|0|0|0
134,46,12,0,0,200,26,-,0|0|0|0|0|0|0|0
135,57,12,0,0,100,26,-,0|0|0|0|0|0|0|0
136,47,12,0,0,100,26,-,0|0|0|0|0|0|0|0
137,44,12,0,0,100,26,-,0|0|0|0|0|0|0|0
138,58,12,0,0,100,26,-,0|0|0|0|0|0|0|0
139,48,12,0,0,200,26,-,0|0|0|0|0|0|0|0
140,49,12,0,0,200,26,-,0|0|0|0|0|0|0|0
141,59,12,0,0,200,26,-,0|0|0|0|0|0|0|0
142,113,12,0,0,100,26,-,0|0|0|0|0|0|0|0
143,60,12,0,0,100,26,-,0|0|0|0|0|0|0|0
144,50,12,0,0,100,26,-,0|0|0|0|0|0|0|0
145,114,12,0,0,100,26,-,0|0|0|0|0|0|0|0
146,115,12,0,0,100,26,-,0|0|0|0|0|0|0|0
147,673,10,0,0,100,26,-,0|0|0|0|0|0|0|0
148,777,10,0,0,100,26,-,0|0|0|0|0|0|0|0
149,840,10,0,0,100,26,-,0|0|0|0|0|0|0|0
150,4,12,0,0,300,27,-,0|0|0|0|0|0|0|0
151,109,10,0,0,100,27,-,0|0|0|0|0|0|0|0
152,101,12,0,0,100,27,-,0|0|0|0|0|0|0|0
153,113,12,0,0,100,27,-,0|0|0|0|0|0|0|0
154,5,12,0,0,200,27,-,0|0|0|0|0|0|0|0
155,6,12,0,0,300,27,-,0|0|0|0|0|0|0|0
156,7,12,0,0,200,27,-,0|0|0|0|0|0|0|0
157,8,12,0,0,200,27,-,0|0|0|0|0|0|0|0
158,9,12,0,0,200,27,-,0|0|0|0|0|0|0|0
159,10,12,0,0,200,27,-,0|0|0|0|0|0|0|0
160,119,12,0,0,100,27,-,0|0|0|0|0|0|0|0
161,120,12,0,0,100,27,-,0|0|0|0|0|0|0|0
162,728,10,0,0,100,27,-,0|0|0|0|0|0|0|0
163,674,10,0,0,100,27,-,0|0|0|0|0|0|0|0
164,842,10,0,0,100,27,-,0|0|0|0|0|0|0|0
165,43,12,0,0,200,30,-,0|0|0|0|0|0|0|0
166,44,12,0,0,100,30,-,0|0|0|0|0|0|0|0
167,45,12,0,0,100,30,-,0|0|0|0|0|0|0|0
168,111,12,0,0,100,30,-,0|0|0|0|0|0|0|0
169,46,12,0,0,100,30,-,0|0|0|0|0|0|0|0
170,116,12,0,0,200,30,-,0|0|0|0|0|0|0|0
171,47,12,0,0,100,30,-,0|0|0|0|0|0|0|0
172,48,12,0,0,100,30,-,0|0|0|0|0|0|0|0
173,126,12,0,0,100,30,-,0|0|0|0|0|0|0|0
174,107,10,0,0,100,30,-,0|0|0|0|0|0|0|0
175,779,10,0,0,100,30,-,0|0|0|0|0|0|0|0
176,726,10,0,0,100,30,-,0|0|0|0|0|0|0|0
177,671,10,0,0,100,30,-,0|0|0|0|0|0|0|0
178,729,10,0,0,100,30,-,0|0|0|0|0|0|0|0
179,5,12,0,0,100,31,-,0|0|0|0|0|0|0|0
180,6,12,0,0,100,31,-,0|0|0|0|0|0|0|0
181,7,12,0,0,100,31,-,0|0|0|0|0|0|0|0
182,112,12,0,0,300,31,-,0|0|0|0|0|0|0|0
183,117,12,0,0,100,31,-,0|0|0|0|0|0|0|0
184,8,12,0,0,100,31,-,0|0|0|0|0|0|0|0
185,122,12,0,0,100,31,-,0|0|0|0|0|0|0|0
186,123,12,0,0,100,31,-,0|0|0|0|0|0|0|0
187,127,12,0,0,100,31,-,0|0|0|0|0|0|0|0
188,9,12,0,0,100,31,-,0|0|0|0|0|0|0|0
189,124,12,0,0,100,31,-,0|0|0|0|0|0|0|0
190,673,10,0,0,100,31,-,0|0|0|0|0|0|0|0
191,777,10,0,0,100,31,-,0|0|0|0|0|0|0|0
192,840,10,0,0,100,31,-,0|0|0|0|0|0|0|0
193,6,12,0,0,300,32,-,0|0|0|0|0|0|0|0
194,118,12,0,0,200,32,-,0|0|0|0|0|0|0|0
195,7,12,0,0,200,32,-,0|0|0|0|0|0|0|0
196,113,12,0,0,200,32,-,0|0|0|0|0|0|0|0
197,8,12,0,0,300,32,-,0|0|0|0|0|0|0|0
198,123,12,0,0,300,32,-,0|0|0|0|0|0|0|0
199,9,12,0,0,100,32,-,0|0|0|0|0|0|0|0
200,128,12,0,0,100,32,-,0|0|0|0|0|0|0|0
201,10,12,0,0,100,32,-,0|0|0|0|0|0|0|0
202,130,12,0,0,100,32,-,0|0|0|0|0|0|0|0
203,129,12,0,0,100,32,-,0|0|0|0|0|0|0|0
204,728,10,0,0,100,32,-,0|0|0|0|0|0|0|0
205,674,10,0,0,100,32,-,0|0|0|0|0|0|0|0
206,842,10,0,0,100,32,-,0|0|0|0|0|0|0|0
207,971,10,0,0,200,36,-,0|0|0|0|0|0|0|0
208,972,10,0,0,200,36,-,0|0|0|0|0|0|0|0
209,973,10,0,0,200,36,-,0|0|0|0|0|0|0|0
210,974,10,0,0,200,36,-,0|0|0|0|0|0|0|0
211,975,10,0,0,200,36,-,0|0|0|0|0|0|0|0
212,976,10,0,0,200,36,-,0|0|0|0|0|0|0|0
213,977,10,0,0,200,36,-,0|0|0|0|0|0|0|0
214,978,10,0,0,200,36,-,0|0|0|0|0|0|0|0
215,979,10,0,0,200,36,-,0|0|0|0|0|0|0|0
216,37,12,0,0,600,50,-,0|0|0|0|0|0|0|0
217,144,12,0,0,200,50,-,0|0|0|0|0|0|0|0
218,118,12,0,0,100,50,-,0|0|0|0|0|0|0|0
219,47,12,0,0,400,50,-,0|0|0|0|0|0|0|0
220,7,12,0,0,400,50,-,0|0|0|0|0|0|0|0
221,211,12,0,0,100,50,-,0|0|0|0|0|0|0|0
222,221,12,0,0,100,50,-,0|0|0|0|0|0|0|0
223,212,12,0,0,100,50,-,0|0|0|0|0|0|0|0
224,7,12,0,0,200,51,-,0|0|0|0|0|0|0|0
225,118,12,0,0,100,51,-,0|0|0|0|0|0|0|0
226,144,12,0,0,100,51,-,0|0|0|0|0|0|0|0
227,37,12,0,0,200,51,-,0|0|0|0|0|0|0|0
228,8,12,0,0,300,51,-,0|0|0|0|0|0|0|0
